#{"t_start": 1784446208.7240992, "env_id": "NoisyGoalReacher-v0"}
r,l,t
-6.920358,50,84.324803
-7.118453,50,84.356293
-5.436711,50,84.387909
-5.446636,50,84.420558
-5.287742,50,84.97561
-7.632498,50,85.006878
-12.498382,50,85.039206
-6.827687,50,85.070992
-7.091251,50,85.102309
-5.981159,50,85.134418
-5.549922,50,85.165991
-5.725173,50,85.37194
-8.177403,50,85.403545
-4.863359,50,85.436279
-11.418668,50,85.996671
-7.428298,50,86.029509
-9.919389,50,86.061081
-5.047328,50,86.092971
-5.774665,50,86.125859
-4.127629,50,86.157027
-7.279896,50,86.188863
-6.794474,50,86.220044
-3.911459,50,86.252311
-7.324795,50,86.283909
-5.0933,50,86.853105
-4.980672,50,86.88457
-6.497206,50,86.915093
-2.927673,50,86.947198
-8.50127,50,86.97823
-8.22342,50,87.009296
-7.250785,50,87.041917
-8.943309,50,87.073153
-7.019838,50,87.104722
-7.072572,50,87.136888
-5.220033,50,87.168204
-5.179837,50,87.730617
-7.208741,50,87.76276
-12.390022,50,87.794337
-7.202352,50,87.825478
-7.206888,50,87.857761
-7.797819,50,87.889367
-5.988344,50,87.921121
-6.48007,50,87.953489
-7.877545,50,87.984827
-7.201513,50,88.016327
-4.087801,50,88.579038
-5.319067,50,88.610121
-8.157637,50,88.641096
-7.663741,50,88.673679
-5.489678,50,88.705881
-9.37028,50,88.737317
-4.843364,50,88.769688
-7.268165,50,88.801431
-6.514507,50,88.833679
-5.706292,50,88.866074
-4.712001,50,89.426219
-7.183888,50,89.457821
-3.85268,50,89.490278
-5.469097,50,89.522056
-12.714322,50,89.553686
